the,[ðə],то;определенный артикль
loom,[luːm],виднеться;надвигаться;ткацкий;станок
mill,[mɪl],молоть;фрезеровать;фабрика;мельница
potion,[ˈpəʊ.ʃən],зелье
score,[skɔː(r)],оценивать;засчитываться;оценка;счет;метка
success,[səkˈses],успех
wink,[wɪŋk],мигать;миг
announce,[əˈnaʊns],заявлять
arrangement,[əˈreɪndʒmənt],размещение
article,[ˈɑːtɪkl],прес)статья
attach,[əˈtætʃ],подключать;прилагать
blush,[blʌʃ],краснеть
cautious,[ˈkɔː.ʃəs],осторожный
favour,[ˈfeɪvə(r)],польза
hug,[hʌɡ],обнимать;объятие
newspaper,[ˈnjuːzpeɪpə(r)],граф)газета;газетный
royal,[ˈrɔɪəl],королевский
wherever,[weərˈevə(r)],где бы ни;где бы (куда бы)
wretch,[retʃ],несчастный
clue,[kluː],ключ
dash,[dæʃ],бросаться;бросок
extend,[ɪkˈstend],расширять;распространять;расширенный
faithful,[ˈfeɪθfl],верный
kingdom,[ˈkɪŋ.dəm],королевство
profound,[prəˈfaʊnd],глубокий
resume,[rɪˈzjuːm],продолжать;резюме;итоговый
shove,[ʃʌv],толкать
conduct,[kənˈdʌkt],проводить;поведение
noon,[nuːn],полдень
president,[ˈprezɪdənt],президент
shed,[ʃed],распространять
shell,[ʃel],оболочка
sunday,[ˈsʌndeɪ],воскресенье;воскресный;в воскресенье
agree,[əˈɡriː],соглашаться;договариваться;согласовывать
angle,[ˈæŋɡl],угол
auditor,[ˈɔː.dɪt.ər],аудитор;аудиторский
disguise,[dɪsˈɡaɪz],маскировать;маскировка
eleven,[ɪˈlevn],одиннадцать;одиннадцати
perform,[pəˈfɔːm],выполнять
coin,[kɔɪn],монета
darling,[ˈdɑː.lɪŋ],дорогой
drawer,[drɔː(r)],трассант;секция;ящик
liberty,[ˈlɪb.ə.ti],свобода;свободный
lurk,[lɜːk],притаиться
positive,[ˈpɒzətɪv],положительный
resist,[rɪˈzɪst],сопротивляться;противостоять
reward,[rɪˈwɔːd],награждать;вознаграждение
belief,[bɪˈliːf],убеждение
coffin,[ˈkɒf.ɪn],гроб
courage,[ˈkʌrɪdʒ],смелость
dimension,[ˌdaɪˈmen.ʃən],измерение
grandfather,[ˈɡrænfɑːðə(r)],дед
librarian,[laɪˈbreə.ri.ən],библиотекарь
swear,[sweə(r)],присягать;клясться;ругаться
tin,[tɪn],лудить;банка;олово;жесть;жестяной
urgent,[ˈɜːdʒənt],неотложный
valentine,[ˈvæl.ən.taɪn],валентин
bid,[bɪd],предлагать;приказывать;предложение;попытка;тендерный
bunch,[bʌntʃ],связка;пучок;группа
flood,[flʌd],затоплять;наводнение
hearty,[ˈhɑː.ti],искренний
heave,[hiːv],бросать;вздыматься;рвать;бросок
lack,[læk],недоставать;недостаток;отсутствие
lid,[lɪd],крышка
mud,[mʌd],грязь
snatch,[snætʃ],хватать
stare,[steə(r)],смотреть;пристально
thread,[θred],заправлять;резьба;нить
widow,[ˈwɪd.əʊ],вдова
afford,[əˈfɔːd],предоставлять;позволить себе
butter,[ˈbʌtə(r)],масло
comrade,[ˈkɒm.reɪd],товарищ
instance,[ˈɪnstəns],пример
outline,[ˈaʊtlaɪn],очерчивать;схема;эскиз;структурированный
parchment,[ˈpɑːtʃ.mənt],пергамент;пергаментный
wire,[ˈwaɪə(r)],телеграфировать;провод;проводной
envelope,[ˈenvələʊp],докм)конверт;групповой
foolish,[ˈfuː.lɪʃ],глупый
harder,[hɑːd],труднее;тверже;более упорно;более трудный
incredible,[ɪnˈkred.ɪ.bl̩],невероятный
modern,[ˈmɒdn],современный
ponder,[ˈpɒn.dər],обдумывать
praise,[preɪz],хвалить;похвала
reference,[ˈrefrəns],ссылаться;ссылка
rob,[rɒb],грабить;роб
supreme,[suːˈpriːm],высший;верховный
aim,[eɪm],стремиться;цель
grace,[ɡreɪs],грация
knight,[naɪt],рыцарь
panic,[ˈpæn.ɪk],паниковать;паника
bomb,[bɒm],бомбить;бомба;бомбовый
counsel,[ˈkaʊn.səl],рекомендовать;совещание
dislike,[dɪsˈlaɪk],испытывать;неприязнь к;антипатия
glove,[ɡlʌv],перчатка
lap,[læp],колено;круг
sinister,[ˈsɪn.ɪ.stər],зловещий
stagger,[ˈstæɡ.ər],потрясать;шататься
symbol,[ˈsɪmbl],символ;символьный
bigger,[bɪɡ],больше;больший
burden,[ˈbɜː.dən],перегружать;бремя;ноша
collect,[kəˈlekt],собирать
fourth,[fɔːθ],четвертый
grip,[ɡrɪp],захватывать;зажим;чемодан
ladder,[ˈlæd.ər],лестница;цепная схема
pitch,[pɪtʃ],бросать;шаг
pot,[pɒt],горшок
protect,[prəˈtekt],защищать;защита
reluctant,[rɪˈlʌk.tənt],сопротивляющийся
unit,[ˈjuːnɪt],устройство;подразделение (воен)
abroad,[əˈbrɔːd],за границей
bat,[bæt],бить;дубинка;командный файл;летучая мышь
capture,[ˈkæptʃə(r)],захватывать;сбор
downstairs,[ˌdaʊnˈsteəz],внизу
freedom,[ˈfriːdəm],свобода
importance,[ɪmˈpɔːtns],значение
inn,[ɪn],гостиница
invite,[ɪnˈvaɪt],приглашать
jordan,[-],иордания;иорданский
massive,[ˈmæsɪv],огромный
wit,[wɪt],ум
amongst,[əˈmʌŋ],среди
concentrate,[ˈkɒnsntreɪt],концентрировать
consideration,[kənˌsɪdəˈreɪʃn],соображение
crazy,[ˈkreɪzi],сумашедший
helmet,[ˈhel.mət],каска
linger,[ˈlɪŋ.ɡər],задерживаться
messenger,[ˈmes.ɪn.dʒər],посыльный
mock,[mɒk],высмеивать;фиктивный
safety,[ˈseɪfti],безопасность;безопасный
triumph,[ˈtraɪ.əmf],торжествовать;триумф
wisdom,[ˈwɪz.dəm],мудрость
american,[əˈmer.ɪ.kən],американец;американский;америко
chocolate,[ˈtʃɒklət],шоколад;шоколадный
cluster,[ˈklʌs.tər],окружать;группа;кластерный
jacket,[ˈdʒækɪt],куртка;суперобложка;конверт
rage,[reɪdʒ],бушевать;ярость
reef,[riːf],риф
sofa,[ˈsəʊ.fə],диван
basil,[ˈbæz.əl],базилик
compliment,[ˈkɒm.plɪ.mənt],приветствовать;комплимент
fascinate,[ˈfæs.ɪ.neɪt],увлекать
ghoul,[ɡuːl],вампир
hoarse,[hɔːs],хриплый
improve,[ɪmˈpruːv],улучшать
log,[lɒɡ],регистрировать;бревно;регистрация;инф)протокол;журнал;регистрационный
peter,[ˈpiː.tə],питер
skirt,[skɜːt],юбка
slay,[sleɪ],убивать
sum,[sʌm],суммировать;сумма;итог
supple,[ˈsʌp.l̩],гибкий
swell,[swel],распухать
agreeable,[əˈɡriː.ə.bl̩],приемлемый;отвечающий
apple,[ˈæpl],яблоко;инф)И)эппл;яблочный
confusion,[kənˈfjuːʒn],неразбериха
device,[dɪˈvaɪs],устройство
devote,[dɪˈvəʊt],посвящать себя
downward,[ˈdaʊnwəd],вниз;спад
fleet,[fliːt],флот
frame,[freɪm],фрейм;фреймовый
overhead,[ˈəʊ.və.hed],наверху;подвесной;потеря
pop,[pɒp],выталкивать
split,[splɪt],разделять;разделение;разделенный
stroll,[strəʊl],бродить;прогуливаться
assemble,[əˈsem.bl̩],собирать;монтировать
beer,[bɪə(r)],пиво
boil,[bɔɪl],кипятить;кипеть;варить;фурункул
boom,[buːm],грохотать;процветать;расти;бум;грохот;подъем;шумный
complain,[kəmˈpleɪn],жаловаться
delay,[dɪˈleɪ],задерживать;задержка
edward,[-],эдвард
flap,[flæp],развеваться;взмах
focus,[ˈfəʊkəs],фокусировать;фокус
fond,[fɒnd],любящий
jewel,[ˈdʒuː.əl],драгоценность;драгоценный камень
panel,[ˈpænl],обшивать;панель;панельный
prince,[prɪns],принц;князь
shawn,[-],шон
sleepy,[ˈsliː.pi],сонный
tug,[tʌɡ],буксировать;буксир
amuse,[əˈmjuːz],забавлять
ankh,[-],крест
carpet,[ˈkɑːpɪt],ковер
confess,[kənˈfes],признавать
counter,[ˈkaʊntə(r)],счетчик;прилавок;встречный
glint,[ɡlɪnt],блестеть;блеск
government,[ˈɡʌvənmənt],союз)правительство;инф)руководство;государственный;правительственный
impress,[ɪmˈpres],производить впечатление
relate,[-],связывать
ridge,[rɪdʒ],гребень
specter,[ˈspek.tər],призрак
squeak,[skwiːk],скрипеть;скрип
suck,[sʌk],сосать
tuck,[tʌk],подоткнуть;вытачка
description,[dɪˈskrɪpʃn],описание
hunter,[ˈhʌn.tər],охотник
irish,[ˈaɪə.rɪʃ],ирландский
mild,[maɪld],мягкий
mistress,[ˈmɪs.trəs],госпожа
permit,[pəˈmɪt],разрешать;разрешение
protest,[ˈprəʊtest],протестовать против;протестовать;протест
ticket,[ˈtɪkɪt],билет;удостоверение
unlock,[ʌnˈlɒk],деблокировать
disappoint,[ˌdɪsəˈpɔɪnt],разочаровывать
gang,[ɡæŋ],комплект;галетный
issue,[ˈɪʃuː],выпускать;передавать;передача;прес)выпуск
obtain,[əbˈteɪn],получать
oil,[ɔɪl],смазывать;нефть;авто)артс)масло;масляный;нефтяной
progress,[ˈprəʊɡres],развиваться;прогресс
rumble,[ˈrʌm.bl̩],громыхать;грохот
sniff,[snɪf],нюхать;шмыгать
glide,[ɡlaɪd],скользить;планировать
lest,[lest],если
obscure,[əbˈskjʊər],затемнять;затемненный
veil,[veɪl],вуалировать;вуаль
amidst,[əˈmɪd],среди
artist,[ˈɑːtɪst],артс)художник
camera,[ˈkæmərə],камера
cheap,[tʃiːp],дешевый
disgust,[dɪsˈɡʌst],вызывать отвращение;отвращение
flush,[flʌʃ],сбрасывать;промывать;краска
friendship,[ˈfrendʃɪp],дружба
parlour,[ˈpɑː.lər],гостиная
sailor,[ˈseɪlə(r)],моряк
sheer,[ʃɪər],чистый;абсолютный
specimen,[ˈspes.ə.mɪn],образец;типовой
ashamed,[əˈʃeɪmd],стыдно
axe,[æks],топор
brood,[bruːd],выводок
conclusion,[kənˈkluːʒn],вывод
ink,[ɪŋk],чернила;артс)краска;чернильный
mumble,[ˈmʌm.bl̩],бормотать;бормотание
owner,[ˈəʊnə(r)],владелец
pie,[paɪ],пирог
quiver,[ˈkwɪv.ər],дрожать;колчан
ankle,[ˈæŋkl],щиколотка
anymore,[ˌen.iˈmɔːr],больше
bubble,[ˈbʌbl],пузырь;пузырьковый
clerk,[klɑːk],клерк
idle,[ˈaɪ.dl̩],ожидание;холостой;праздный;ленивый
interval,[ˈɪntəvl],интервал
muscle,[ˈmʌsl],мускул;мышца
pressure,[ˈpreʃə(r)],давление
radio,[ˈreɪdiəʊ],радио
ray,[reɪ],луч;рэй
spear,[spɪər],пронзать;копье
unpleasant,[ʌnˈpleznt],неприятный
cavern,[ˈkæv.ən],пещера
darken,[ˈdɑː.kən],темнеть
decision,[dɪˈsɪʒn],решение
fence,[fens],огораживать;фехтовать;ограждение
harsh,[hɑːʃ],жесткий
instruction,[ɪnˈstrʌkʃn],инструкция;команда
limp,[lɪmp],хромать
possibility,[ˌpɒsəˈbɪləti],возможность
spectacle,[ˈspek.tɪ.kl̩],зрелище
torture,[ˈtɔː.tʃər],пытать;пытка
victim,[ˈvɪktɪm],жертва
arrival,[əˈraɪvl],прибытие;поступление
broomstick,[ˈbruːm.stɪk],метла
clasp,[klɑːsp],прижимать;застегиваться;застежка;пожатие
encourage,[ɪnˈkʌrɪdʒ],способствовать;содействовать;поощрительный
exercise,[ˈeksəsaɪz],осуществлять;упражнение
favourite,[ˈfeɪvərɪt],любимый
ocean,[ˈəʊʃn],океан;океанский
punch,[pʌntʃ],перфорировать;перфоратор
render,[ˈren.dər],предоставлять
rip,[rɪp],разрывать
sack,[sæk],ссыпать;грабить;мешок;грабеж
whirl,[wɜːl],кружить
wick,[wɪk],фитиль
attract,[əˈtrækt],привлекать
bleed,[bliːd],кровоточить
ernest,[-],эрнест
fright,[fraɪt],испуг
heal,[hiːl],излечивать;заживать
kindness,[ˈkaɪndnəs],доброта
net,[net],сеть;нетто;чистый
oxford,[ˈɒks.fəd],оксфорд
patrician,[pəˈtrɪʃ.ən],патриций
science,[ˈsaɪəns],наука
style,[staɪl],стиль
sweeper,[ˈswiː.pər],подметальщик
audience,[ˈɔːdiəns],аудитория;публика;аудиенция
clad,[klæd],одевать;одетый
gigantic,[ˌdʒaɪˈɡæn.tɪk],гигантский
lawn,[lɔːn],газон
professional,[prəˈfeʃənl],профессионал;профессиональный
unexpected,[ˌʌnɪkˈspektɪd],неожиданный
university,[ˌjuːnɪˈvɜːsəti],университет;университетский
violet,[ˈvaɪə.lət],фиалка;фиолетовый
awkward,[ˈɔːkwəd],неудобный
buzz,[bʌz],жужжать
cough,[kɒf],кашлять;кашель
dish,[dɪʃ],подавать;блюдо
fang,[fæŋ],клык
muffle,[ˈmʌf.l̩],закутывать;глушить
pillow,[ˈpɪl.əʊ],подушка
shield,[ʃiːld],элек)экранировать;защищать;экран
slave,[sleɪv],раб;дублирующий
alas,[əˈlæs],увы
breeze,[briːz],бриз
drip,[drɪp],капать
exhaust,[ɪɡˈzɔːst],исчерпывать;выхлоп;выпускной;выхлопной
hover,[ˈhɒv.ər],реять;колебаться
quest,[kwest],поиски
severe,[sɪˈvɪə(r)],серьезный
tend,[tend],иметь тенденцию;стремиться
anxiety,[æŋˈzaɪəti],беспокойство
appeal,[əˈpiːl],юрид)апеллировать;обращаться;апелляция
astonishment,[əˈstɒn.ɪʃ.mənt],удивление
cable,[ˈkeɪbl],телеграфировать;кабель;телеграмма;кабельный
consult,[kənˈsʌlt],обращаться к;инф)получать
drum,[drʌm],барабанить;барабан
electric,[ɪˈlektrɪk],электрический
haul,[hɔːl],тянуть;транспортировка;связь
knot,[nɒt],завязывать узлом;узел
proof,[pruːf],доказательство;устойчивый
relative,[ˈrelətɪv],относительный
reserve,[rɪˈzɜːv],резервировать;резерв;резервный
sentence,[ˈsentəns],предложение;приговор
spark,[spɑːk],искра
tray,[treɪ],поддон
aspect,[ˈæspekt],аспект
bathroom,[ˈbɑːθruːm],ванная
column,[ˈkɒləm],колонна;инф)прог)столбец
eastern,[ˈiːstən],восточный
encounter,[ɪnˈkaʊntə(r)],встречать
farm,[fɑːm],заниматься фермерством;ферма;сельскохозяйственный
justice,[ˈdʒʌstɪs],законность;судья
menace,[ˈmen.ɪs],угрожать;угроза
monk,[mʌŋk],монах
northern,[ˈnɔːðən],северный
raft,[rɑːft],плот
blackness,[ˈblæk.nəs],чернота
blanket,[ˈblæŋ.kɪt],одеяло;покров;комплексный
casual,[ˈkæʒ.ju.əl],случайный
crumble,[ˈkrʌm.bl̩],распадаться
eastward,[ˈiːst.wəd],к востоку;восточный
project,[ˈprɒdʒekt],планировать;выступать;проект
tangle,[ˈtæŋ.ɡl̩],запутывать
thou,[ðaʊ],хотя
alter,[ˈɔːltə(r)],изменять
behold,[bɪˈhəʊld],созерцать
corpse,[kɔːps],труп
damage,[ˈdæmɪdʒ],повреждать;ущерб;возмещение убытков;аварийный
duck,[dʌk],нагибаться;утка
fork,[fɔːk],вилка
furniture,[ˈfɜːnɪtʃə(r)],мебель;обстановка
heir,[eər],наследник
hopeful,[ˈhəʊp.fəl],многообещающий
orange,[ˈɒrɪndʒ],апельсин;апельсиновый
peep,[piːp],подглядывать
per,[pə(r)],за;на;в
port,[pɔːt],переносить;порт
puff,[pʌf],пуховка
purchase,[ˈpɜːtʃəs],приобретать;приобретение
splendid,[ˈsplen.dɪd],великолепный
worthy,[ˈwɜː.ði],достойный
birthday,[ˈbɜːθdeɪ],день рождения
faith,[feɪθ],вера
hasten,[ˈheɪ.sən],торопиться
military,[ˈmɪlətri],воен)военный
morrow,[ˈmɒr.əʊ],завтра
notion,[ˈnəʊ.ʃən],понятие
pig,[pɪɡ],свинья
prospect,[ˈprɒspekt],искать;перспектива
saturday,[ˈsætədeɪ],суббота;субботний;в субботу
sip,[sɪp],глоток
straighten,[ˈstreɪ.tən],выпрямлять
uncertain,[ʌnˈsɜːtn],неопределенный
upright,[ˈʌp.raɪt],прямой
betray,[bɪˈtreɪ],предавать
breathe,[briːð],дышать
communication,[kəˌmjuːnɪˈkeɪʃn],связь
crystal,[ˈkrɪs.təl],кристалл;кристаллический
embrace,[ɪmˈbreɪs],охватывать (обнимать);заключать;объятие
fortunate,[ˈfɔː.tʃən.ət],удачный
grippe,[-],грипп
gulf,[ɡʌlf],залив
powder,[ˈpaʊdə(r)],пудрить;порошок;пудра;порох;порошковый
rail,[reɪl],бранить;шина;железнодорожный
rustle,[rʌsl̩],шелестеть;шелест;шорох
unicorn,[ˈjuː.nɪ.kɔːn],единорог
wail,[weɪl],вопить;вопль
argument,[ˈɑːɡjumənt],аргумент
clatter,[ˈklæt.ər],цокать;цокот
grotesque,[ɡrəʊˈtesk],абсурдный
grunt,[ɡrʌnt],хрюкать;хрюкание
haste,[heɪst],опрометчивость
keeper,[ˈkiː.pər],хранитель
lover,[ˈlʌvə(r)],любовник
pavement,[ˈpeɪv.mənt],тротуар
pine,[paɪn],сосна
research,[rɪˈsɜːtʃ],исследовать;исследование;научно-исследовательский
associate,[əˈsəʊʃieɪt],соединять;ассоциировать;коллега
bed,[bed],постель;постельный;кровать;геол)пласт
delightful,[dɪˈlaɪt.fəl],прелестный
explore,[ɪkˈsplɔː(r)],изучать
flag,[flæɡ],сигнализировать;флаг
marvel,[ˈmɑː.vəl],дивиться;чудо
pursuit,[pəˈsjuːt],поиск
savage,[ˈsæv.ɪdʒ],дикарь;дикий;жестокий
section,[ˈsekʃn],секция;раздел
tense,[tens],напрягать;время;напряженный
tremendous,[trɪˈmen.dəs],огромный
upset,[ʌpˈset],нарушать
advise,[ədˈvaɪz],сообщать;совет;обдуманный
cream,[kriːm],сливки;крем;сливочный
dot,[dɒt],ставить точку;точка;точечный
drug,[drʌɡ],лекарство
fury,[ˈfjʊə.ri],ярость
gracious,[ˈɡreɪ.ʃəs],любезный
helm,[helm],руль
kitty,[ˈkɪ.ti],котенок
male,[meɪl],самец;мужской
mistaken,[mɪˈsteɪkən],ошибаться;ошибочный
nay,[neɪ],нет
retreat,[rɪˈtriːt],отступать;отступление
rim,[rɪm],обод
survey,[ˈsɜːveɪ],осматривать;обследование;обзор;астр)съемка
traffic,[ˈtræfɪk],движение;трафик
ultimate,[ˈʌltɪmət],окончательный
unseen,[ʌnˈsiːn],невидимый
western,[ˈwestən],западный
bounce,[baʊns],прыгать;скачок;рикошет;упругость
commit,[kəˈmɪt],совершать
criminal,[ˈkrɪmɪnl],преступник;уголовный
div,[dɪv],деление
doubtful,[ˈdaʊt.fəl],сомнительный
dungeon,[ˈdʌn.dʒən],темница
dusk,[dʌsk],сумерки
eagle,[ˈiː.ɡl̩],орел
invent,[ɪnˈvent],изобретать
lick,[lɪk],лизать
nevertheless,[ˌnevəðəˈles],тем не менее
observation,[ˌɒbzəˈveɪʃn],наблюдение;замечание
september,[sepˈtembə(r)],сентябрь;сентябрьский
stony,[ˈstəʊ.ni],каменный
title,[ˈtaɪtl],называть;название;титул;право
vein,[veɪn],вена
amid,[əˈmɪd],среди
bug,[bʌɡ],жук;инф)дефект
cupboard,[ˈkʌbəd],шкаф
humble,[ˈhʌm.bl̩],скромный
minister,[ˈmɪnɪstə(r)],министр;священник
mound,[maʊnd],бугор;могильный холм
native,[ˈneɪ.tɪv],исконный
respectable,[rɪˈspek.tə.bl̩],приличный;порядочный
sneak,[sniːk],красться;внезапный
tough,[tʌf],жесткий
birth,[bɜːθ],рождение
crook,[krʊk],сгиб
dusty,[ˈdʌs.ti],пыльный
fantastic,[fænˈtæs.tɪk],фантастический
glory,[ˈɡlɔː.ri],слава
non,[nɒn-],не
slice,[slaɪs],вырезать;вырезка
soar,[sɔːr],повышаться;полет
underground,[ˌʌndəˈɡraʊnd],метрополитен;подземный кабель;подземный
volume,[ˈvɒljuːm],объем;том
wobbler,[-],ненадежный человек
abrupt,[əˈbrʌpt],внезапный;крутой
bosom,[ˈbʊz.əm],грудь
central,[ˈsentrəl],центральный
distinguish,[dɪˈstɪŋɡwɪʃ],различать;отличать
divide,[dɪˈvaɪd],делить
glare,[ɡleər],фото)сверкать;блик
grope,[ɡrəʊp],нащупывать
mom,[mɒm],мама
ridiculous,[rɪˈdɪkjələs],нелепый
shelve,[ʃelv],складывать на полку
sneer,[snɪər],насмехаться;издеваться;насмешка;усмешка
twinkle,[ˈtwɪŋ.kl̩],мерцает;мерцание
deck,[dek],украшать;палуба;дек
drain,[dreɪn],осушать;утечка
hedge,[hedʒ],ограждать;хедж;живая изгородь
indicate,[ˈɪndɪkeɪt],указывать;указание
misty,[ˈmɪs.ti],туманный
obey,[əˈbeɪ],подчиняться
rabbit,[ˈræb.ɪt],кролик
scarlet,[ˈskɑː.lət],алый
screw,[skruː],завинчивать;винт;винтовой
slap,[slæp],шлепать;шлепок
splash,[splæʃ],плескать;плеск
toast,[təʊst],тост
undoubted,[ʌnˈdaʊ.tɪd],бесспорный
wed,[wed],#ср
accustom,[əˈkʌs.təm],приучать
bulge,[bʌldʒ],раздуваться;выпуклость
collapse,[kəˈlæps],рушиться;крах
expose,[ɪkˈspəʊz],подвергать
generation,[ˌdʒenəˈreɪʃn],поколение;генерация
horizon,[həˈraɪ.zən],горизонт
perch,[pɜːtʃ],сидеть;окунь;насест
stout,[staʊt],толстяк;толстый;полный
await,[əˈweɪt],ожидать
endure,[ɪnˈdjʊər],выносить;длиться
explode,[ɪkˈspləʊd],взрывать
lend,[lend],предоставлять;ссуда
poke,[pəʊk],протыкать;тычок
protection,[prəˈtekʃn],защита
rot,[rɒt],гнить;порча
shuffle,[ˈʃʌf.l̩],перемещать
sport,[spɔːt],носить;спорт
stun,[stʌn],оглушать;ошеломлять
twitch,[twɪtʃ],дергать;подергивание
brass,[brɑːs],медь;медный
compare,[kəmˈpeə(r)],сравнивать;сравнение
elsewhere,[ˌelsˈweə(r)],где-нибудь еще
ireland,[-],ирландия
jar,[dʒɑːr],банка
lore,[lɔːr],знание
major,[ˈmeɪdʒə(r)],специализироваться;майор;мажор;основной;крупный;мажорный
nostril,[ˈnɒs.trəl],ноздря
oak,[əʊk],дуб;дубовый
reasonable,[ˈriːznəbl],разумный
sacrifice,[ˈsæk.rɪ.faɪs],жертвовать;жертва
trial,[ˈtraɪəl],испытание;суд;опытный
bee,[biː],пчела;пчелиный
dublin,[-],дублин
fearful,[ˈfɪə.fəl],страшный
intense,[ɪnˈtens],интенсивный
merchant,[ˈmɜː.tʃənt],торговец;коммерческий
nowhere,[ˈnəʊweə(r)],нигде;никуда
repair,[rɪˈpeə(r)],исправлять;ремонт
troop,[truːp],отряд;войсковой
extent,[ɪkˈstent],протяженность;степень
funeral,[ˈfjuːnərəl],похороны
grove,[ɡrəʊv],роща
highest,[-],самый верхний
item,[ˈaɪtəm],пункт
leaf,[liːf],лист
useless,[ˈjuːsləs],бесполезный
utmost,[ˈʌt.məʊst],крайний
admiration,[ˌædməˈreɪʃn],восхищение
background,[ˈbækɡraʊnd],фон
data,[ˈdeɪtə],инф) данные
hut,[hʌt],хижина
neighbourhood,[ˈneɪbəhʊd],окрестность
precise,[prɪˈsaɪs],точный
recollect,[ˌrek.əˈlekt],вспоминать
response,[rɪˈspɒns],ответ
shelf,[ʃelf],полка
warmth,[wɔːmθ],тепло
weakness,[ˈwiːknəs],слабость
weigh,[weɪ],взвешивать;весить
badge,[bædʒ],символ
blur,[blɜːr],смазывать
borrow,[ˈbɒrəʊ],заимствовать;заем
capable,[ˈkeɪpəbl],способный
jet,[dʒet],самолет;струя;реактивный
mankind,[mænˈkaɪnd],человечество
prompt,[prɒmpt],подсказывать;подсказка;инф)приглашение;быстрый;точно
shadowy,[ˈʃæd.əʊ.i],темный
smash,[smæʃ],разбивать;столкновение
stray,[streɪ],паразитный;блуждаюший
successful,[səkˈsesfl],успешный
thomas,[ˌdaʊ.tɪŋˈtɒm.əs],томас
trifle,[ˈtraɪ.fl̩],шутить;мелочь;пустяк;безделушка
underneath,[ˌʌndəˈniːθ],под
weave,[wiːv],ткать
amazement,[əˈmeɪz.mənt],удивление
exceeding,[ɪkˈsiːd],превышать;чрезвычайный
gaunt,[ɡɔːnt],изможденный
interview,[ˈɪntəvjuː],опрашивать;интервью
mouse,[maʊs],мышь
pad,[pæd],заполнять;панель;блокнот
plastic,[ˈplæstɪk],пластмасса;пластический
swirl,[swɜːl],кружить;вихрь
beach,[biːtʃ],берег
comment,[ˈkɒment],комментировать;комментарий
glimmer,[ˈɡlɪm.ər],мерцать;мерцание
gown,[ɡaʊn],платье
shallow,[ˈʃæləʊ],поверхностный;мелкий
thud,[θʌd],падать;глухой;звук
defeat,[dɪˈfiːt],побеждать;поражение
majesty,[ˈmædʒ.ə.sti],величество
prayer,[preə(r)],молитва
shaft,[ʃɑːft],вал;шпиндель;шахта
southward,[ˈsaʊθ.wəd],к югу;южный
spoon,[spuːn],ложка
throne,[θrəʊn],трон;тронный
wax,[wæks],натирать;воск;восковый
bellow,[ˈbel.əʊ],мычать;мычание
contrary,[ˈkɒn.trə.ri],обратный вопреки
embarrass,[ɪmˈbærəs],смущать
establish,[ɪˈstæblɪʃ],устанавливать
jail,[dʒeɪl],заключать в тюрьму;тюрьма;тюремный
mercy,[ˈmɜː.si],милосердие
remembrance,[rɪˈmem.brəns],память
respond,[rɪˈspɒnd],отвечать;реагировать;ответ
season,[ˈsiːzn],сезон
snort,[snɔːt],фыркать
westward,[ˈwest.wəd],к западу;западный
annoy,[əˈnɔɪ],раздражать
brisk,[brɪsk],живой
cigar,[sɪˈɡɑːr],сигара;сигарный
cunning,[ˈkʌn.ɪŋ],хитрость;хитрый
hopeless,[ˈhəʊp.ləs],безнадежный
pencil,[ˈpensl],карандаш;карандашный
plot,[plɒt],вычерчивать;график
route,[ruːt],направлять;маршрут
solitary,[ˈsɒl.ɪ.tər.i],одиночный
standard,[ˈstændəd],стандарт;стандартный
superior,[suːˈpɪəriə(r)],высший
web,[web],сеть;паутина;перепонка;техн)ребро;перемычка
avenue,[ˈæv.ə.njuː],авеню
beckon,[ˈbek.ən],манить
bullet,[ˈbʊlɪt],пуля
chuckle,[ˈtʃʌk.l̩],посмеиваться;смешок
cock,[kɒk],наклонять;петух
dispose,[dɪˈspəʊz],располагать
employ,[ɪmˈplɔɪ],применять;нанимать
fever,[ˈfiːvə(r)],лихорадка
graceful,[ˈɡreɪs.fəl],изящный;постепенный
hail,[heɪl],окликать;град
likewise,[ˈlaɪk.waɪz],подобно
sore,[sɔː(r)],рана;болезненный
waiter,[ˈweɪtə(r)],официант
wrinkle,[ˈrɪŋ.kl̩],морщить;морщина
council,[ˈkaʊnsl],совет
fasten,[ˈfɑːsn],прикреплять
fumble,[ˈfʌm.bl̩],нащупывать;ронять;терять
generous,[ˈdʒenərəs],великодушный;обильный
maid,[meɪd],девушка;горничная;служанка
myth,[mɪθ],миф
nephew,[ˈnefjuː],племянник
steer,[stɪə(r)],управлять
terrace,[ˈter.əs],терраса
attitude,[ˈætɪtjuːd],отношение
fireplace,[ˈfaɪə.pleɪs],камин
flare,[fleər],вспышка
german,[ˈdʒɜː.mən],немец;немецкий;по-немецки;немецко
pinch,[pɪntʃ],щипать;повышение
slop,[slɒp],мусор
trickle,[ˈtrɪk.l̩],сочиться;струйка
waist,[weɪst],талия
affectionate,[əˈfek.ʃən.ət],нежный
autumn,[ˈɔːtəm],осень;осенний
clumsy,[ˈklʌm.zi],неуклюжий
conclude,[kənˈkluːd],решать;конт)заключать
cow,[kaʊ],корова;коровий
laboratory,[ləˈbɒrətri],лаборатория;лабораторный
monsieur,[-],мосье
peaceful,[ˈpiːsfl],мирный
swoop,[swuːp],налетать;налет
victory,[ˈvɪktəri],победа
apply,[əˈplaɪ],относиться
attic,[ˈæt.ɪk],чердак
chew,[tʃuː],жевать;обдумывать
